model,format,condition,scope,breakdown,group,n_instances,n_base_questions,EX_correct,EX_pct,EX_nonempty_pct,empty_pct,DMA_correct,DMA_pct,DMA_ci_lo,DMA_ci_hi
google/gemma-2-9b-it,t20i,schema_dk_v3,full,overall,all,799,200,524,65.58,48.94,16.65,1,0.13,0.0,0.38
google/gemma-2-9b-it,t20i,schema_dk_v3,full,language,english,200,200,123,61.5,46.5,15.0,0,0.0,0.0,0.0
google/gemma-2-9b-it,t20i,schema_dk_v3,full,language,hindi,200,200,131,65.5,50.0,15.5,1,0.5,0.0,1.5
google/gemma-2-9b-it,t20i,schema_dk_v3,full,language,punjabi,200,200,132,66.0,48.0,18.0,0,0.0,0.0,0.0
google/gemma-2-9b-it,t20i,schema_dk_v3,full,language,telugu,199,199,138,69.35,51.26,18.09,0,0.0,0.0,0.0
google/gemma-2-9b-it,t20i,schema_dk_v3,filtered,overall,all,643,161,422,65.63,49.46,16.17,1,0.16,0.0,0.47
google/gemma-2-9b-it,t20i,schema_dk_v3,filtered,language,english,161,161,103,63.98,47.83,16.15,0,0.0,0.0,0.0
google/gemma-2-9b-it,t20i,schema_dk_v3,filtered,language,hindi,161,161,107,66.46,50.93,15.53,1,0.62,0.0,1.86
google/gemma-2-9b-it,t20i,schema_dk_v3,filtered,language,punjabi,161,161,104,64.6,47.83,16.77,0,0.0,0.0,0.0
google/gemma-2-9b-it,t20i,schema_dk_v3,filtered,language,telugu,160,160,108,67.5,51.25,16.25,0,0.0,0.0,0.0
google/gemma-2-9b-it,t20i,schema_only,full,overall,all,799,200,572,71.59,43.43,28.16,2,0.25,0.0,0.75
google/gemma-2-9b-it,t20i,schema_only,full,language,english,200,200,143,71.5,44.5,27.0,1,0.5,0.0,1.5
google/gemma-2-9b-it,t20i,schema_only,full,language,hindi,200,200,149,74.5,41.5,33.0,1,0.5,0.0,1.5
google/gemma-2-9b-it,t20i,schema_only,full,language,punjabi,200,200,135,67.5,40.0,27.5,0,0.0,0.0,0.0
google/gemma-2-9b-it,t20i,schema_only,full,language,telugu,199,199,145,72.86,47.74,25.13,0,0.0,0.0,0.0
google/gemma-2-9b-it,t20i,schema_only,filtered,overall,all,643,161,478,74.34,46.97,27.37,2,0.31,0.0,0.93
google/gemma-2-9b-it,t20i,schema_only,filtered,language,english,161,161,117,72.67,47.2,25.47,1,0.62,0.0,1.86
google/gemma-2-9b-it,t20i,schema_only,filtered,language,hindi,161,161,126,78.26,45.34,32.92,1,0.62,0.0,1.86
google/gemma-2-9b-it,t20i,schema_only,filtered,language,punjabi,161,161,114,70.81,42.86,27.95,0,0.0,0.0,0.0
google/gemma-2-9b-it,t20i,schema_only,filtered,language,telugu,160,160,121,75.62,52.5,23.12,0,0.0,0.0,0.0
