model,format,condition,scope,breakdown,group,n_instances,n_base_questions,EX_correct,EX_pct,EX_nonempty_pct,empty_pct,DMA_correct,DMA_pct,DMA_ci_lo,DMA_ci_hi
Qwen3-235B-A22B-2507,t20i,schema_dk_v2,full,overall,all,799,200,711,88.99,66.33,22.65,17,2.13,0.63,4.0
Qwen3-235B-A22B-2507,t20i,schema_dk_v2,full,language,english,200,200,177,88.5,61.0,27.5,5,2.5,0.5,4.5
Qwen3-235B-A22B-2507,t20i,schema_dk_v2,full,language,hindi,200,200,176,88.0,63.5,24.5,5,2.5,0.5,5.0
Qwen3-235B-A22B-2507,t20i,schema_dk_v2,full,language,punjabi,200,200,187,93.5,72.5,21.0,3,1.5,0.0,3.5
Qwen3-235B-A22B-2507,t20i,schema_dk_v2,full,language,telugu,199,199,171,85.93,68.34,17.59,4,2.01,0.5,4.02
Qwen3-235B-A22B-2507,t20i,schema_dk_v2,filtered,overall,all,643,161,570,88.65,67.34,21.31,17,2.64,0.78,4.97
Qwen3-235B-A22B-2507,t20i,schema_dk_v2,filtered,language,english,161,161,142,88.2,63.35,24.84,5,3.11,0.62,6.21
Qwen3-235B-A22B-2507,t20i,schema_dk_v2,filtered,language,hindi,161,161,139,86.34,62.11,24.22,5,3.11,0.62,6.21
Qwen3-235B-A22B-2507,t20i,schema_dk_v2,filtered,language,punjabi,161,161,151,93.79,74.53,19.25,3,1.86,0.0,4.35
Qwen3-235B-A22B-2507,t20i,schema_dk_v2,filtered,language,telugu,160,160,138,86.25,69.38,16.88,4,2.5,0.62,5.0
Qwen3-235B-A22B-2507,t20i,schema_only,full,overall,all,799,200,719,89.99,67.96,22.03,11,1.38,0.5,2.51
Qwen3-235B-A22B-2507,t20i,schema_only,full,language,english,200,200,177,88.5,69.5,19.0,1,0.5,0.0,1.5
Qwen3-235B-A22B-2507,t20i,schema_only,full,language,hindi,200,200,178,89.0,65.0,24.0,4,2.0,0.5,4.0
Qwen3-235B-A22B-2507,t20i,schema_only,full,language,punjabi,200,200,181,90.5,65.0,25.5,1,0.5,0.0,1.5
Qwen3-235B-A22B-2507,t20i,schema_only,full,language,telugu,199,199,183,91.96,72.36,19.6,5,2.51,0.5,5.03
Qwen3-235B-A22B-2507,t20i,schema_only,filtered,overall,all,643,161,574,89.27,69.36,19.91,11,1.71,0.62,3.11
Qwen3-235B-A22B-2507,t20i,schema_only,filtered,language,english,161,161,143,88.82,72.05,16.77,1,0.62,0.0,1.86
Qwen3-235B-A22B-2507,t20i,schema_only,filtered,language,hindi,161,161,141,87.58,65.84,21.74,4,2.48,0.62,4.97
Qwen3-235B-A22B-2507,t20i,schema_only,filtered,language,punjabi,161,161,144,89.44,65.22,24.22,1,0.62,0.0,1.86
Qwen3-235B-A22B-2507,t20i,schema_only,filtered,language,telugu,160,160,146,91.25,74.38,16.88,5,3.12,0.62,6.25
